title,author,year
Evaluating the Presence of Sex Bias in Clinical Reasoning by Large Language Models.,"['Isabel Tsintsiper', 'Sheng Wong', 'Beth Albert', 'Shaun P. Brennecke', 'Gabriel Davis Jones']",2026
Mitigating the Risk of Health Inequity Exacerbated by Large Language Models.,"['Yuelyu Ji', 'Wenhe Ma', 'Sonish Sivarajkumar', 'Hang Zhang', 'Eugene Mathew Sadhu', 'Zhuochun Li', 'Xizhi Wu', 'Shyam Visweswaran', 'Yanshan Wang']",2024
MedVoiceBias: A Controlled Study of Audio LLM Behavior in Clinical Decision-Making.,"['Zhi Rui Tam', 'Yun-Nung Chen']",2025
Performance of a large language model-Artificial Intelligence based chatbot for counseling patients with sexually transmitted infections and genital diseases.,"['Nikhil Mehta 0006', 'Sithira Ambepitiya', 'Thanveer Ahamad', 'Dinuka Wijesundara', 'Yudara Kularathne']",2024
Evaluating Large Language Models' Responses to Sexual and Reproductive Health Queries in Nepali.,"['Medha Sharma', 'Supriya Khadka', 'Udit Chandra Aryal', 'Bishnu Hari Bhatta', 'Bijayan Bhattarai', 'Santosh Dahal', 'Kamal Gautam', 'Pushpa Joshi', 'Saugat Kafle', 'Shristi Khadka', 'Shushila Khadka', 'Binod Lamichhane', 'Shilpa Lamichhane', 'Anusha Parajuli', 'Sabina Pokharel', 'Suvekshya Sitaula', 'Neha Verma', 'Bishesh Khanal']",2026
"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing.","['Naeimeh Nourmohammadi', 'Md Meem Hossain', 'The Anh Han', 'Safina Showkat Ara', 'Zia Ush-Shamszaman']",2026
Unlocking LLMs: Addressing Scarce Data and Bias Challenges in Mental Health.,"['Vivek Kumar 0007', 'Eirini Ntoutsi', 'Pushpraj Singh Rajawat', 'Giacomo Medda', 'Diego Reforgiato Recupero']",2024
Aligning (Medical) LLMs for (Counterfactual) Fairness.,"['Raphael Poulain', 'Hamed Fayyaz', 'Rahmatollah Beheshti']",2024
RACER: An LLM-powered Methodology for Scalable Analysis of Semi-structured Mental Health Interviews.,"['Satpreet Harcharan Singh', 'Kevin Jiang', 'Kanchan Bhasin', 'Ashutosh Sabharwal', 'Nidal Moukaddam', 'Ankit B. Patel']",2024
Disaggregated Health Data in LLMs: Evaluating Data Equity in the Context of Asian American Representation.,"['Uvini Balasuriya Mudiyanselage', 'Bharat Jayprakash', 'Kookjin Lee', 'K. Hazel Kwon']",2025
Can large language models be privacy preserving and fair medical coders?,"['Ali Dadsetan', 'Dorsa Soleymani', 'Xijie Zeng', 'Frank Rudzicz']",2024
Mental Health Equity in LLMs: Leveraging Multi-Hop Question Answering to Detect Amplified and Silenced Perspectives.,"['Batool Haider', 'Atmika Gorti', 'Aman Chadha', 'Manas Gaur']",2025
AMQA: An Adversarial Dataset for Benchmarking Bias of LLMs in Medicine and Healthcare.,"['Ying Xiao', 'Jie Huang', 'Ruijuan He', 'Jing Xiao', 'Mohammad Reza Mousavi 0001', 'Yepang Liu 0001', 'Kezhi Li', 'Zhenpeng Chen 0001', 'Jie M. Zhang']",2025
Investigating Gender Stereotypes in Large Language Models via Social Determinants of Health.,"['Trung Hieu Ngo', 'Adrien Bazoge', 'Solen Quiniou', 'Pierre-Antoine Gourraud', 'Emmanuel Morin']",2026
Unveiling Performance Challenges of Large Language Models in Low-Resource Healthcare: A Demographic Fairness Perspective.,"['Yue Zhou', 'Barbara Di Eugenio', 'Lu Cheng']",2024
Health Disparities through Generative AI Models: A Comparison Study Using A Domain Specific large language model.,"['Yohn Jairo Parra Bautista', 'Vinicious Lima', 'Carlos Theran', 'Richard A. Aló']",2023
Calibrated? Not for Everyone: How Sexual Orientation and Religious Markers Distort LLM Accuracy and Confidence in Medical QA.,"['Alberto Testoni', 'Iacer Calixto']",2026
The Biased Oracle: Assessing LLMs' Understandability and Empathy in Medical Diagnoses.,"['Jianzhou Yao', 'Shunchang Liu', 'Guillaume Drui', 'Rikard Pettersson', 'Alessandro Blasimme', 'Sara Kijewski']",2025
Bias patterns in the application of LLMs for clinical decision support: A comprehensive study.,"['Raphael Poulain', 'Hamed Fayyaz', 'Rahmatollah Beheshti']",2024
Building Trust in Clinical LLMs: Bias Analysis and Dataset Transparency.,"['Svetlana Maslenkova', 'Clément Christophe', 'Marco AF Pimentel', 'Tathagata Raha', 'Muhammad Umar Salman', 'Ahmed Al-Mahrooqi', 'Avani Gupta', 'Shadab Khan', 'Ronnie Rajan', 'Praveen K. Kanithi']",2025
Universal Debiased Editing on Foundation Models for Fair Medical Image Classification.,"['Ruinan Jin', 'Wenlong Deng', 'Minghui Chen', 'Xiaoxiao Li']",2024
Silence is Not Consensus: Disrupting Agreement Bias in Multi-Agent LLMs via Catfish Agent for Clinical Decision Making.,"['Yihan Wang', 'Qiao Yan', 'Zhenghao Xing', 'Lihao Liu', 'Junjun He', 'Chi-Wing Fu', 'Xiaowei Hu 0001', 'Pheng-Ann Heng']",2025
Gender-Neutral Large Language Models for Medical Applications: Reducing Bias in PubMed Abstracts.,"['Elizabeth Schaefer', 'Kirk Roberts']",2025
Unveiling and Mitigating Bias in Mental Health Analysis with Large Language Models.,"['Yuqing Wang 0004', 'Yun Zhao 0001', 'Sara Alessandra Keller', 'Anne A. H. de Hond', 'Marieke M. van Buchem', 'Malvika Pillai', 'Tina Hernandez-Boussard']",2024
